"actor_id","first_name","last_name","film_id","film_cat"
1,"Penelope","Guiness",1,"Documentary"
1,"Penelope","Guiness",23,"Animation"
1,"Penelope","Guiness",25,"New"
1,"Penelope","Guiness",106,"Games"
1,"Penelope","Guiness",140,"Sci-Fi"
1,"Penelope","Guiness",166,"Classics"
1,"Penelope","Guiness",277,"Horror"
1,"Penelope","Guiness",361,"Sports"
1,"Penelope","Guiness",438,"Games"
1,"Penelope","Guiness",499,"Family"
1,"Penelope","Guiness",506,"Horror"
1,"Penelope","Guiness",509,"Children"
1,"Penelope","Guiness",605,"Foreign"
1,"Penelope","Guiness",635,"New"
1,"Penelope","Guiness",749,"Horror"
1,"Penelope","Guiness",832,"Family"
1,"Penelope","Guiness",939,"Comedy"
1,"Penelope","Guiness",970,"Classics"
1,"Penelope","Guiness",980,"Music"
2,"Nick","Wahlberg",3,"Documentary"
2,"Nick","Wahlberg",31,"Family"
2,"Nick","Wahlberg",47,"Foreign"
2,"Nick","Wahlberg",105,"Action"
2,"Nick","Wahlberg",132,"Sci-Fi"
2,"Nick","Wahlberg",145,"Family"
2,"Nick","Wahlberg",226,"New"
2,"Nick","Wahlberg",249,"Classics"
2,"Nick","Wahlberg",314,"Animation"
2,"Nick","Wahlberg",321,"New"
2,"Nick","Wahlberg",357,"Classics"
2,"Nick","Wahlberg",369,"Sci-Fi"
2,"Nick","Wahlberg",399,"Foreign"
2,"Nick","Wahlberg",458,"Family"
2,"Nick","Wahlberg",481,"New"
2,"Nick","Wahlberg",485,"Children"
2,"Nick","Wahlberg",518,"Travel"
2,"Nick","Wahlberg",540,"Music"
2,"Nick","Wahlberg",550,"Family"
2,"Nick","Wahlberg",555,"Comedy"
2,"Nick","Wahlberg",561,"New"
2,"Nick","Wahlberg",742,"Games"
2,"Nick","Wahlberg",754,"Comedy"
2,"Nick","Wahlberg",811,"Travel"
2,"Nick","Wahlberg",958,"Drama"
3,"Ed","Chase",17,"Music"
3,"Ed","Chase",40,"Documentary"
3,"Ed","Chase",42,"Sports"
3,"Ed","Chase",87,"Travel"
3,"Ed","Chase",111,"Action"
3,"Ed","Chase",185,"Foreign"
3,"Ed","Chase",289,"New"
3,"Ed","Chase",329,"Action"
3,"Ed","Chase",336,"Documentary"
3,"Ed","Chase",341,"Classics"
3,"Ed","Chase",393,"Documentary"
3,"Ed","Chase",441,"Documentary"
3,"Ed","Chase",453,"Sports"
3,"Ed","Chase",480,"Classics"
3,"Ed","Chase",539,"Drama"
3,"Ed","Chase",618,"Drama"
3,"Ed","Chase",685,"New"
3,"Ed","Chase",827,"Drama"
3,"Ed","Chase",966,"Documentary"
